Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) tmax(C) tmin(C) vp(Pa),, prcp(mm/day) ,srad(W/m2), tmax(C) ,tmin(C) ,vp(Pa),Runoff (t-1),FFNN-Runoff(t-1),,,Runoff (t)
1984 01 01 12,35251.2,0,303.85,5.97,-10.17,280,223,223,,,223
1984 01 02 12,35251.2,0,316.89,10.61,-7.79,336.4,223,223,,,182
1984 01 03 12,35251.2,0,313.38,12.5,-5.43,405.42,182,182,,,163
1984 01 04 12,35251.2,0,314.97,13.14,-4.98,440,163,163,,,152
1984 01 05 12,35253.89,0,306.64,14.98,-2.01,526.78,152,152,,,140
1984 01 06 12,35417.39,0,276.49,15.66,1.87,704.34,140,140,,,131
1984 01 07 12,35571.41,0,317.8,17.86,-0.97,562.13,131,131,,,122
1984 01 08 12,35596.83,0,311.13,14.06,-2.94,484.96,122,122,,,110
1984 01 09 12,35596.83,0,321.91,17.11,-1.81,534.86,110,110,,,101
1984 01 10 12,35596.83,7.33,233.23,18.56,1.22,657.92,101,101,,,1340
1984 01 11 12,35596.83,54.93,132.39,10.83,3.57,795.78,1340,1340,,,9290
1984 01 12 12,35632.05,0,224.98,5.33,-4,440,9290,9290,,,3460
1984 01 13 12,35828.06,0,191.08,4,-3.6,471.04,3460,3460,,,877
1984 01 14 12,35942.39,1.04,147.24,3.62,-2.15,522.64,877,877,,,543
1984 01 15 12,35942.39,0,256.46,9.57,-1.48,560,543,543,,,416
1984 01 16 12,35942.39,0.02,163.56,6.81,0.46,636.54,416,416,,,343
1984 01 17 12,35942.39,0.72,198.09,10.21,1.78,701.53,343,343,,,299
1984 01 18 12,36173.67,11.12,122.53,11,4.6,847.91,299,299,,,728
1984 01 19 12,36288,36.96,125,8.75,2.31,722.19,728,728,,,7200
1984 01 20 12,36288,0,294.16,7,-5.9,393.42,7200,7200,,,2790
1984 01 21 12,36288,0,247.18,4.7,-5.16,422.85,2790,2790,,,950
1984 01 22 12,36323.24,0,316.29,5.17,-9.06,315.23,950,950,,,584
1984 01 23 12,36608.18,0,312.28,5.85,-7.92,326.6,584,584,,,424
1984 01 24 12,36633.6,3.63,163.96,6.95,-1.39,552.37,424,424,,,400
1984 01 25 12,36633.6,7.89,117.18,10.14,4.35,828.12,400,400,,,699
1984 01 26 12,36636.29,3.4,208.75,13.03,2.65,738.8,699,699,,,660
1984 01 27 12,36953.79,11.36,206.9,15.24,3.79,803.11,660,660,,,1160
1984 01 28 12,36979.21,0,353.05,17.19,-0.85,572.14,1160,1160,,,1250
1984 01 29 12,36979.21,0,337.85,15.03,-0.65,588.03,1250,1250,,,679
1984 01 30 12,37014.46,0,350.82,15.57,-1.3,560.07,679,679,,,465
1984 01 31 12,37324.82,0,377.04,16.71,-4.16,443.91,465,465,,,361
1984 02 01 12,37324.82,0,352.03,10.21,-5.7,400,361,361,,,303
1984 02 02 12,37324.82,0,371.66,13.3,-4.98,436.48,303,303,,,269
1984 02 03 12,37610.05,0,370.23,16.63,-1.66,540.85,269,269,,,250
1984 02 04 12,37670.38,11.65,217.31,16.63,5.26,892.53,250,250,,,326
1984 02 05 12,37670.38,0,337.48,15.8,1.61,689.02,326,326,,,570
1984 02 06 12,37705.62,1.9,356.85,8.76,-8.45,320,570,570,,,397
1984 02 07 12,38016.01,0,355.47,5.46,-7.63,349.67,397,397,,,296
1984 02 08 12,38016.01,0,391.02,7.63,-8,320,296,296,,,247
1984 02 09 12,38016.01,0,423.3,13.34,-6.92,360,247,247,,,225
1984 02 10 12,38361.6,0,422.29,18.16,-2.96,483.26,225,225,,,211
1984 02 11 12,38361.6,0.3,382.7,20.73,2.91,751.62,211,211,,,201
1984 02 12 12,38361.6,0,353.3,22.73,6.97,997.7,201,201,,,197
1984 02 13 12,38707.19,15.42,234.05,22.57,9.61,1208.64,197,197,,,376
1984 02 14 12,38707.19,49.57,153.45,18.07,10.64,1291.2,376,376,,,6160
1984 02 15 12,38707.19,0,389.82,20.35,1.91,712.74,6160,6160,,,2850
1984 02 16 12,39052.82,0,388.27,20.93,2.48,720,2850,2850,,,1050
1984 02 17 12,39052.82,0,382.06,21.57,3.54,800,1050,1050,,,650
1984 02 18 12,39052.82,0,400.87,22,1.8,704.09,650,650,,,487
1984 02 19 12,39398.4,0,396.75,22.45,2.71,736.45,487,487,,,398
1984 02 20 12,39398.4,0,362.88,22.64,5.97,922.95,398,398,,,346
1984 02 21 12,39398.4,0,318.39,18.97,5.76,920,346,346,,,309
1984 02 22 12,39743.98,0,363.35,17.26,1.59,686.52,309,309,,,280
1984 02 23 12,39743.98,34.37,231.85,16.08,3.7,799.5,280,280,,,3010
1984 02 24 12,39743.98,2.14,287.35,15.03,2.78,742.66,3010,3010,,,2770
1984 02 25 12,40089.6,0,376.66,19.97,3.15,771.81,2770,2770,,,1190
1984 02 26 12,40089.6,0,380.04,14.85,-1.63,546.72,1190,1190,,,635
1984 02 27 12,40124.83,14.23,258.25,15.21,1.23,658.03,635,635,,,3330
